Time,99.8 cP,2096 cP,6033 cP,11469 cP,20962 cP
0,-0.000697674,0.002036199,0.000447427,-0.003386005,-0.001348315
0.2,-0.000697674,0.002036199,0.000447427,-0.003386005,-0.001348315
0.4,-0.000697674,0.002036199,0.000447427,-0.003386005,-0.001348315
0.6,-0.000465116,0.002036199,0.000447427,-0.003386005,-0.001348315
0.8,-0.000697674,0.002036199,0.000447427,-0.003386005,-0.001573034
1,-0.000697674,0.002036199,0.000447427,-0.003386005,-0.001573034
1.2,0.024418605,0.007466063,0.000447427,-0.003386005,-0.001573034
1.4,0.05,0.019004525,0.000447427,-0.003386005,-0.001573034
1.6,0.060930232,0.025565611,0.000447427,-0.003611738,-0.001573034
1.8,0.074651163,0.036651584,0.000223714,-0.003611738,-0.001573034
2,0.093255814,0.050904978,0.000223714,-0.003611738,-0.001797753
2.2,0.110697675,0.060180996,0.000223714,-0.003611738,-0.001797753
2.4,0.122790698,0.079864253,0.000223714,-0.003611738,-0.001797753
2.6,0.139767442,0.092986426,0.007606264,-0.003611738,-0.001797753
2.8,0.160465116,0.108823529,0.031543624,-0.003611738,-0.001797753
3,0.173488372,0.121493213,0.042281879,-0.003611738,-0.001797753
3.2,0.189767442,0.138687783,0.049440716,-0.003611738,-0.001797753
3.4,0.210232558,0.152941177,0.057718121,-0.000451467,-0.001797753
3.6,0.220232558,0.168778281,0.073378076,0.00496614,-0.001797753
3.8,0.240232558,0.184841629,0.083892617,0.015801354,-0.002022472
4,0.259069767,0.202036199,0.097762863,0.024153499,-0.002022472
4.2,0.271162791,0.213800905,0.108724832,0.029345373,-0.002022472
4.4,0.291627907,0.234162896,0.122818792,0.038600451,-0.002022472
4.6,0.307906977,0.250452489,0.131543624,0.047404063,0.005393258
4.8,0.320232558,0.266968326,0.144519016,0.05214447,0.006067416
5,0.340232558,0.281447964,0.153691275,0.060496614,0.006516854
5.2,0.357674419,0.296832579,0.168456376,0.07020316,0.006741573
