Time,Volume1,Volume2,Volume3,Volume4,Volume5
0,0.001131222,0.001131222,0,0.001131222,0
0.2,0.001131222,0.001131222,0,0.001131222,0
0.4,0.001131222,0,0,0.001131222,0
0.6,0.001131222,0,0,0.001131222,0
0.8,0.001131222,0,0,0.001131222,0
1,0.001131222,0,0,0.001131222,0
1.2,0.002262443,0,0,0.001131222,0
1.4,0.002262443,0,0,0.001131222,0
1.6,0.002262443,0,0,0.001131222,0
1.8,0.002262443,0,0,0,0
2,0.002262443,0,0,0,0
2.2,0.033936652,0.030542986,0,0.027149321,0
2.4,0.033936652,0.030542986,0.028280543,0.028280543,0.024886878
2.6,0.03959276,0.036199095,0.029411765,0.031674208,0.0260181
2.8,0.048642534,0.045248869,0.031674208,0.049773756,0.028280543
3,0.062217195,0.059954751,0.052036199,0.053167421,0.038461538
3.2,0.064479638,0.066742081,0.059954751,0.057692308,0.050904977
3.4,0.075791855,0.078054299,0.06561086,0.082579186,0.067873303
3.6,0.091628959,0.083710407,0.078054299,0.083710407,0.075791855
3.8,0.09841629,0.087104072,0.087104072,0.089366516,0.080316742
4,0.107466063,0.110859729,0.09841629,0.09841629,0.088235294
4.2,0.118778281,0.113122172,0.106334842,0.107466063,0.093891403
4.4,0.127828054,0.119909502,0.109728507,0.128959276,0.116515837
4.6,0.139140272,0.139140272,0.132352941,0.133484163,0.119909502
4.8,0.142533937,0.140271493,0.135746606,0.13800905,0.127828054
5,0.166289593,0.154977376,0.140271493,0.145927602,0.134615385
5.2,0.168552036,0.165158371,0.149321267,0.174208145,0.153846154
5.4,0.171945701,0.17081448,0.162895928,0.180995475,0.159502262
5.6,0.179864253,0.18438914,0.174208145,0.187782805,0.169683258
5.8,0.194570136,0.187782805,0.182126697,0.202488688,0.180995475
6,0.205882353,0.208144796,0.185520362,0.207013575,0.187782805
6.2,0.216063348,0.212669683,0.205882353,0.222850679,0.195701358
6.4,0.222850679,0.223981901,0.21040724,0.233031674,0.214932127
6.6,0.235294118,0.240950226,0.216063348,0.236425339,0.220588235
6.8,0.246606335,0.252262443,0.227375566,0.25678733,0.225113122
7,0.255656109,0.262443439,0.238687783,0.260180996,0.240950226
7.2,0.265837104,0.268099548,0.253393665,0.265837104,0.247737557
7.4,0.272624434,0.283936652,0.262443439,0.274886878,0.25678733
7.6,0.285067873,0.292986425,0.271493213,0.286199095,0.272624434
7.8,0.297511312,0.308823529,0.28280543,0.299773756,0.280542986
8,0.303167421,0.325791855,0.290723982,0.331447964,0.286199095
