Time,Volume1,Volume2,Volume3,Volume4,Volume5
0,0,0,0,0,0
0.2,0,0,0,0,0
0.4,0,0,0,0,0
0.6,0,0,0,0,0
0.8,0,0,0,0,0
1,0,0,0,0,0
1.2,0,0,0,0,0
1.4,0.017857143,0,0,0,0.014285714
1.6,0.019047619,0.017857143,0,0,0.020238095
1.8,0.019047619,0.019047619,0.017857143,0,0.020238095
2,0.019047619,0.019047619,0.017857143,0.017857143,0.020238095
2.2,0.025,0.019047619,0.019047619,0.019047619,0.023809524
2.4,0.038095238,0.023809524,0.019047619,0.019047619,0.038095238
2.6,0.039285714,0.038095238,0.022619048,0.019047619,0.039285714
2.8,0.039285714,0.039285714,0.038095238,0.022619048,0.04047619
3,0.039285714,0.039285714,0.039285714,0.036904762,0.04047619
3.2,0.044047619,0.039285714,0.039285714,0.038095238,0.042857143
3.4,0.05952381,0.042857143,0.039285714,0.039285714,0.057142857
3.6,0.05952381,0.058333333,0.044047619,0.039285714,0.060714286
3.8,0.060714286,0.060714286,0.047619048,0.042857143,0.060714286
4,0.060714286,0.060714286,0.05952381,0.057142857,0.060714286
4.2,0.064285714,0.060714286,0.060714286,0.05952381,0.061904762
4.4,0.079761905,0.063095238,0.060714286,0.060714286,0.066666667
4.6,0.079761905,0.067857143,0.061904762,0.060714286,0.080952381
4.8,0.080952381,0.080952381,0.067857143,0.063095238,0.080952381
5,0.080952381,0.080952381,0.080952381,0.067857143,0.082142857
5.2,0.08452381,0.082142857,0.080952381,0.080952381,0.082142857
5.4,0.088095238,0.083333333,0.080952381,0.082142857,0.088095238
5.6,0.102380952,0.086904762,0.082142857,0.082142857,0.101190476
5.8,0.102380952,0.101190476,0.086904762,0.083333333,0.101190476
6,0.102380952,0.102380952,0.101190476,0.088095238,0.101190476
6.2,0.102380952,0.102380952,0.101190476,0.1,0.101190476
6.4,0.108333333,0.103571429,0.101190476,0.101190476,0.105952381
6.6,0.121428571,0.107142857,0.102380952,0.101190476,0.119047619
6.8,0.122619048,0.122619048,0.107142857,0.101190476,0.120238095
7,0.122619048,0.123809524,0.122619048,0.107142857,0.120238095
7.2,0.123809524,0.123809524,0.123809524,0.121428571,0.120238095
7.4,0.127380952,0.123809524,0.123809524,0.122619048,0.123809524
7.6,0.141666667,0.126190476,0.122619048,0.122619048,0.139285714
7.8,0.144047619,0.140476191,0.125,0.122619048,0.141666667
8,0.144047619,0.144047619,0.141666667,0.125,0.141666667
8.2,0.144047619,0.144047619,0.142857143,0.140476191,0.142857143
8.4,0.147619048,0.145238095,0.142857143,0.142857143,0.145238095
8.6,0.161904762,0.147619048,0.144047619,0.142857143,0.148809524
8.8,0.164285714,0.153571429,0.145238095,0.142857143,0.163095238
9,0.164285714,0.164285714,0.151190476,0.145238095,0.163095238
9.2,0.164285714,0.165476191,0.163095238,0.15,0.163095238
9.4,0.165476191,0.164285714,0.164285714,0.163095238,0.164285714
9.6,0.169047619,0.165476191,0.164285714,0.163095238,0.169047619
9.8,0.183333333,0.169047619,0.165476191,0.164285714,0.183333333
10,0.18452381,0.18452381,0.167857143,0.164285714,0.18452381
10.2,0.18452381,0.185714286,0.18452381,0.167857143,0.18452381
10.4,0.18452381,0.185714286,0.185714286,0.182142857,0.18452381
10.6,0.18452381,0.186904762,0.185714286,0.183333333,0.18452381
10.8,0.18452381,0.185714286,0.185714286,0.18452381,0.18452381
11,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
11.2,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
11.4,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
11.6,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
11.8,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
12,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
12.2,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
12.4,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
12.6,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
12.8,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
13,0.18452381,0.185714286,0.185714286,0.183333333,0.18452381
13.2,0.18452381,0.185714286,0.18452381,0.183333333,0.18452381
13.4,0.18452381,0.185714286,0.18452381,0.183333333,0.18452381
13.6,0.18452381,0.185714286,0.18452381,0.183333333,0.18452381
13.8,0.18452381,0.18452381,0.18452381,0.183333333,0.18452381
14,0.18452381,0.18452381,0.18452381,0.183333333,0.183333333
14.2,0.18452381,0.18452381,0.18452381,0.183333333,0.183333333
14.4,0.18452381,0.18452381,0.18452381,0.183333333,0.183333333
14.6,0.18452381,0.18452381,0.18452381,0.183333333,0.183333333
14.8,0.18452381,0.18452381,0.18452381,0.183333333,0.183333333
15,0.18452381,0.18452381,0.18452381,0.183333333,0.183333333
15.2,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
15.4,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
15.6,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
15.8,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
16,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
16.2,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
16.4,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
16.6,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
16.8,0.18452381,0.183333333,0.18452381,0.183333333,0.183333333
17,0.18452381,0.183333333,0.18452381,0.180952381,0.183333333
17.2,0.18452381,0.183333333,0.18452381,0.180952381,0.183333333
17.4,0.18452381,0.183333333,0.18452381,0.180952381,0.183333333
17.6,0.18452381,0.183333333,0.18452381,0.180952381,0.183333333
17.8,0.18452381,0.183333333,0.18452381,0.180952381,0.183333333
18,0.18452381,0.183333333,0.18452381,0.180952381,0.183333333
18.2,0.18452381,0.183333333,0.18452381,0.180952381,0.183333333
18.4,0.18452381,0.183333333,0.18452381,0.182142857,0.183333333
18.6,0.18452381,0.183333333,0.18452381,0.182142857,0.183333333
18.8,0.18452381,0.183333333,0.18452381,0.182142857,0.183333333
19,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
19.2,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
19.4,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
19.6,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
19.8,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
20,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
20.2,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
20.4,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
20.6,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
20.8,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
21,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
21.2,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
21.4,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
21.6,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
21.8,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
22,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
22.2,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
22.4,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
22.6,0.18452381,0.183333333,0.18452381,0.182142857,0.18452381
22.8,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
23,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
23.2,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
23.4,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
23.6,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
23.8,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
24,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
24.2,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
24.4,0.183333333,0.183333333,0.18452381,0.182142857,0.18452381
24.6,0.183333333,0.183333333,0.18452381,0.183333333,0.18452381
24.8,0.183333333,0.183333333,0.18452381,0.183333333,0.18452381
25,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
25.2,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
25.4,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
25.6,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
25.8,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
26,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
26.2,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
26.4,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
26.6,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
26.8,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
27,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
27.2,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
27.4,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
27.6,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
27.8,0.183333333,0.183333333,0.183333333,0.183333333,0.18452381
28,0.183333333,0.18452381,0.183333333,0.183333333,0.18452381
28.2,0.183333333,0.18452381,0.183333333,0.183333333,0.18452381
28.4,0.183333333,0.18452381,0.183333333,0.183333333,0.18452381
28.6,0.183333333,0.18452381,0.183333333,0.183333333,0.18452381
28.8,0.183333333,0.18452381,0.183333333,0.183333333,0.18452381
29,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
29.2,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
29.4,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
29.6,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
29.8,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
30,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
30.2,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
30.4,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
30.6,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
30.8,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
31,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
31.2,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
31.4,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
31.6,0.183333333,0.18452381,0.18452381,0.183333333,0.18452381
31.8,0.183333333,0.18452381,0.183333333,0.183333333,0.18452381
32,0.183333333,0.18452381,0.183333333,0.183333333,0.18452381
32.2,0.183333333,0.18452381,0.183333333,0.182142857,0.18452381
32.4,0.183333333,0.18452381,0.183333333,0.182142857,0.18452381
32.6,0.183333333,0.18452381,0.183333333,0.182142857,0.18452381
32.8,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
33,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
33.2,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
33.4,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
33.6,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
33.8,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
34,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
34.2,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
34.4,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
34.6,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
34.8,0.183333333,0.183333333,0.183333333,0.182142857,0.18452381
